name,city,cnic,email,telephone,mobile,website,address,credit_limit,opening_balance
saad,Karachi,4582978976,saad@gmail.com,44448545454,4844584544,saad.com,shop no 34 A karachi sadar,500000,10000
mubeen,Karachi,4582978976,mubeen@gmail.com,44448545454,4844584544,mubeen.com,shop no 34 A karachi sadar,1000000,0
asad,Karachi,4582978976,asad@gmail.com,44448545454,4844584544,asad.com,shop no 34 A karachi sadar,1000000,60000
kashan,Karachi,4582978976,kashan@gmail.com,44448545454,4844584544,kashan.com,shop no 34 A karachi sadar,1000000,0
faraz,Karachi,4582978976,faraz@gmail.com,44448545454,4844584544,faraz.com,shop no 34 A karachi sadar,2000000,200000
ahmed,Karachi,4582978976,ahmed@gmail.com,44448545454,4844584544,ahmed.com,shop no 34 A karachi sadar,1000000,20000
aliyan,Karachi,4582978976,aliyan@gmail.com,44448545454,4844584544,aliyan.com,shop no 34 A karachi sadar,1000000,0
jabbar,Karachi,4582978976,jabbar@gmail.com,44448545454,4844584544,jabbar.com,shop no 34 A karachi sadar,400000,30000
farhan,Karachi,4582978976,farhan@gmail.com,44448545454,4844584544,farhan.com,shop no 34 A karachi sadar,1000000,20000
kamran,Karachi,4582978976,kamran@gmail.com,44448545454,4844584544,kamran.com,shop no 34 A karachi sadar,3000000,0
sheraz,Karachi,4582978976,sheraz@gmail.com,44448545454,4844584544,sheraz.com,shop no 34 A karachi sadar,1000000,20000
summit,Karachi,4582978976,summit@gmail.com,44448545454,4844584544,summit.com,shop no 34 A karachi sadar,1000000,0
